koma_id,kanji,page,position,koma,chara_num,whos,eyes,face_direction,eyes_num,page_id,four_komas_id,tobirae_page,wasuu,grade,month,wasuu_page
01-016-4,1,16,R,4,2,"ゆ,唯,","詳,詳","↓,→,",3,01-016,01-016-R,False,2,1,04月,6
01-016-5,1,16,L,1,3,"ゆ,縁,唯,","詳,デ,詳","←,↓,→,",4,01-016,01-016-L,False,2,1,04月,6
01-016-6,1,16,L,2,1,"縁,",デ,"↓,",2,01-016,01-016-L,False,2,1,04月,6
01-016-7,1,16,L,3,2,"唯,ゆ,","デ,デ","↓,↓,",3,01-016,01-016-L,False,2,1,04月,6
01-016-8,1,16,L,4,3,"ゆ,縁,唯,","デ,デ,デ","←,↓,→,",4,01-016,01-016-L,False,2,1,04月,6
01-017-1,1,17,R,1,2,"縁,唯,","デ,詳","↓,→,",3,01-017,01-017-R,False,2,1,04月,6
01-017-2,1,17,R,2,1,"唯,",詳,"↓,",2,01-017,01-017-R,False,2,1,04月,6
01-017-3,1,17,R,3,2,"唯,縁,","詳,デ","←,→,",3,01-017,01-017-R,False,2,1,04月,6
01-017-4,1,17,R,4,1,"唯,",詳,"←,",2,01-017,01-017-R,False,2,1,04月,6
01-017-5,1,17,L,1,3,"唯,縁,ゆ,","詳,デ,デ","↓,↓,→,",4,01-017,01-017-L,False,2,1,04月,6
01-017-6,1,17,L,2,3,"ゆ,縁,唯,","デ,デ","→,↓,↑,",3,01-017,01-017-L,False,2,1,04月,6
01-017-7,1,17,L,3,1,"唯,",詳,"↓,",2,01-017,01-017-L,False,2,1,04月,6
01-017-8,1,17,L,4,3,"縁,ゆ,唯,","デ,デ,デ","←,←,↓,",4,01-017,01-017-L,False,2,1,04月,6
01-018-1,1,18,R,1,1,"ゆ,",デ,"↓,",2,01-018,01-018-R,False,2,1,04月,6
01-018-2,1,18,R,2,2,"ゆ,唯,","デ,詳","←,↓,",3,01-018,01-018-R,False,2,1,04月,6
01-018-3,1,18,R,3,2,"ゆ,唯,","デ,詳","←,↓,",3,01-018,01-018-R,False,2,1,04月,6
01-018-4,1,18,R,4,0,,n,nan,1,01-018,01-018-R,False,2,1,04月,6
01-018-5,1,18,L,1,3,"ゆ,唯,縁,","デ,詳,デ","←,↓,→,",4,01-018,01-018-L,False,2,1,04月,6
01-018-6,1,18,L,2,0,,n,nan,1,01-018,01-018-L,False,2,1,04月,6
01-018-7,1,18,L,3,2,"ゆ,唯,","詳,詳","↓,↓,",3,01-018,01-018-L,False,2,1,04月,6
01-018-8,1,18,L,4,2,"縁,ゆ,",デ,"↓,↑,",2,01-018,01-018-L,False,2,1,04月,6
01-019-1,1,19,R,1,2,"ゆ,唯,","デ,詳","←,↓,",3,01-019,01-019-R,False,2,1,04月,6
01-019-2,1,19,R,2,2,"ゆ,唯,","デ,デ","←,↓,",3,01-019,01-019-R,False,2,1,04月,6
01-019-3,1,19,R,3,2,"ゆ,唯,","デ,詳","↓,→,",3,01-019,01-019-R,False,2,1,04月,6
01-019-4,1,19,R,4,2,"ゆ,唯,","デ,詳","↓,→,",3,01-019,01-019-R,False,2,1,04月,6
01-019-5,1,19,L,1,1,"唯,",デ,"↓,",2,01-019,01-019-L,False,2,1,04月,6
01-019-6,1,19,L,2,3,"唯,ゆ,縁,","デ,デ,デ","↓,↓,→,",4,01-019,01-019-L,False,2,1,04月,6
01-019-7,1,19,L,3,3,"唯,ゆ,縁,","デ,詳,デ","↓,←,↓,",4,01-019,01-019-L,False,2,1,04月,6
01-019-8,1,19,L,4,3,"唯,ゆ,縁,","デ,デ,デ","↓,←,↓,",4,01-019,01-019-L,False,2,1,04月,6
01-020-1,1,20,R,1,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-2,1,20,R,2,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-3,1,20,R,3,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-4,1,20,R,4,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-5,1,20,L,1,1,"唯,",詳,"↓,",2,01-020,01-020-L,False,2,1,04月,6
01-020-6,1,20,L,2,1,"唯,",詳,"←,",2,01-020,01-020-L,False,2,1,04月,6
01-020-7,1,20,L,3,0,,n,nan,1,01-020,01-020-L,False,2,1,04月,6
01-020-8,1,20,L,4,1,"唯,",デ,"←,",2,01-020,01-020-L,False,2,1,04月,6
01-021-3,1,21,R,3,2,"唯,ゆ,","詳,デ","↓,↓,",3,01-021,01-021-R,True,3,1,04月,8
01-021-4,1,21,R,4,1,"ゆ,",詳,"↓,",2,01-021,01-021-R,True,3,1,04月,8
01-021-7,1,21,L,3,1,"唯,",詳,"↓,",2,01-021,01-021-L,True,3,1,04月,8
01-021-8,1,21,L,4,2,"ゆ,唯,",デ,"↓,↑,",2,01-021,01-021-L,True,3,1,04月,8
01-022-1,1,22,R,1,2,"縁,唯,","デ,詳","↓,→,",3,01-022,01-022-R,False,3,1,04月,8
01-022-2,1,22,R,2,2,"他,縁,","デ,デ","↓,↓,",3,01-022,01-022-R,False,3,1,04月,8
01-022-3,1,22,R,3,2,"唯,ゆ,","詳,詳","↓,↓,",3,01-022,01-022-R,False,3,1,04月,8
01-022-4,1,22,R,4,2,"縁,唯,","デ,詳","→,↓,",3,01-022,01-022-R,False,3,1,04月,8
01-022-5,1,22,L,1,2,"ゆ,唯,","デ,詳","↓,→,",3,01-022,01-022-L,False,3,1,04月,8
01-022-6,1,22,L,2,1,"唯,",デ,"↓,",2,01-022,01-022-L,False,3,1,04月,8
01-022-7,1,22,L,3,1,"ゆ,",詳,"↓,",2,01-022,01-022-L,False,3,1,04月,8
01-022-8,1,22,L,4,2,"唯,ゆ,",デ,"↑,↓,",2,01-022,01-022-L,False,3,1,04月,8
01-023-1,1,23,R,1,3,"縁,ゆ,唯,","デ,デ,詳","↓,↓,↓,",4,01-023,01-023-R,False,3,1,04月,8
01-023-2,1,23,R,2,1,"唯,",詳,"↓,",2,01-023,01-023-R,False,3,1,04月,8
01-023-3,1,23,R,3,2,"縁,ゆ,","デ,デ","↓,↓,",3,01-023,01-023-R,False,3,1,04月,8
01-023-4,1,23,R,4,3,"縁,ゆ,唯,","デ,デ","↓,↓,↑,",3,01-023,01-023-R,False,3,1,04月,8
01-023-5,1,23,L,1,0,,n,nan,1,01-023,01-023-L,False,3,1,04月,8
01-023-6,1,23,L,2,1,"ゆ,",デ,"↓,",2,01-023,01-023-L,False,3,1,04月,8
01-023-7,1,23,L,3,1,"縁,",デ,"↓,",2,01-023,01-023-L,False,3,1,04月,8
01-023-8,1,23,L,4,1,"唯,",詳,"↓,",2,01-023,01-023-L,False,3,1,04月,8
01-024-1,1,24,R,1,1,"縁,",デ,"↓,",2,01-024,01-024-R,False,3,1,04月,8
01-024-2,1,24,R,2,2,"ゆ,縁,","デ,詳","↓,→,",3,01-024,01-024-R,False,3,1,04月,8
01-024-3,1,24,R,3,3,"ゆ,縁,唯,","デ,デ,デ","←,→,→,",4,01-024,01-024-R,False,3,1,04月,8
01-024-4,1,24,R,4,3,"ゆ,縁,唯,","デ,デ,詳","←,→,→,",4,01-024,01-024-R,False,3,1,04月,8
01-024-5,1,24,L,1,1,"ゆ,",詳,"↓,",2,01-024,01-024-L,False,3,1,04月,8
01-024-6,1,24,L,2,3,"唯,ゆ,縁,","詳,詳,デ","←,↓,←,",4,01-024,01-024-L,False,3,1,04月,8
01-024-7,1,24,L,3,1,"ゆ,",詳,"↓,",2,01-024,01-024-L,False,3,1,04月,8
01-024-8,1,24,L,4,3,"唯,ゆ,縁,","詳,デ,デ","↓,↓,↓,",4,01-024,01-024-L,False,3,1,04月,8
01-025-1,1,25,R,1,3,"縁,ゆ,唯,","デ,詳,詳","↓,↓,↓,",4,01-025,01-025-R,False,3,1,04月,8
01-025-2,1,25,R,2,0,,n,nan,1,01-025,01-025-R,False,3,1,04月,8
01-025-3,1,25,R,3,3,"縁,ゆ,唯,","詳,詳,詳","↓,↓,↓,",4,01-025,01-025-R,False,3,1,04月,8
01-025-4,1,25,R,4,3,"縁,唯,ゆ,","デ,詳,デ","←,↓,←,",4,01-025,01-025-R,False,3,1,04月,8
01-025-5,1,25,L,1,1,"縁,",デ,"↓,",2,01-025,01-025-L,False,3,1,04月,8
01-025-6,1,25,L,2,1,"唯,",詳,"↓,",2,01-025,01-025-L,False,3,1,04月,8
01-025-7,1,25,L,3,1,"ゆ,",詳,"↓,",2,01-025,01-025-L,False,3,1,04月,8
01-025-8,1,25,L,4,3,"ゆ,縁,唯,","デ,詳","↑,←,↓,",3,01-025,01-025-L,False,3,1,04月,8
01-026-1,1,26,R,1,3,"ゆ,縁,唯,","詳,デ,詳","↓,↓,↓,",4,01-026,01-026-R,False,3,1,04月,8
01-026-2,1,26,R,2,1,"縁,",デ,"↓,",2,01-026,01-026-R,False,3,1,04月,8
01-026-3,1,26,R,3,1,"唯,",詳,"↓,",2,01-026,01-026-R,False,3,1,04月,8
01-026-4,1,26,R,4,3,"ゆ,縁,唯,","デ,デ,詳","↓,↓,↓,",4,01-026,01-026-R,False,3,1,04月,8
01-026-5,1,26,L,1,1,"唯,",詳,"↓,",2,01-026,01-026-L,False,3,1,04月,8
01-026-6,1,26,L,2,2,"ゆ,縁,","詳,デ","↓,↓,",3,01-026,01-026-L,False,3,1,04月,8
01-026-7,1,26,L,3,2,"ゆ,縁,","デ,デ","↓,↓,",3,01-026,01-026-L,False,3,1,04月,8
01-026-8,1,26,L,4,3,"唯,縁,ゆ,","隠,デ","↑,←,→,",3,01-026,01-026-L,False,3,1,04月,8
01-027-1,1,27,R,1,2,"ゆ,縁,","デ,詳","↓,↓,",3,01-027,01-027-R,False,3,1,04月,8
01-027-2,1,27,R,2,1,"ゆ,",デ,"↓,",2,01-027,01-027-R,False,3,1,04月,8
01-027-3,1,27,R,3,3,"ゆ,縁,唯,","詳,デ,詳","↓,↓,↓,",4,01-027,01-027-R,False,3,1,04月,8
01-027-4,1,27,R,4,3,"ゆ,縁,唯,","デ,デ,デ","↓,↓,↓,",4,01-027,01-027-R,False,3,1,04月,8
01-027-5,1,27,L,1,2,"縁,唯,","デ,詳","↓,↓,",3,01-027,01-027-L,False,3,1,04月,8
01-027-6,1,27,L,2,3,"ゆ,縁,唯,","デ,デ,詳","←,↓,→,",4,01-027,01-027-L,False,3,1,04月,8
01-027-7,1,27,L,3,1,"縁,",デ,"↓,",2,01-027,01-027-L,False,3,1,04月,8
01-027-8,1,27,L,4,3,"ゆ,縁,唯,","デ,デ,詳","↓,→,→,",4,01-027,01-027-L,False,3,1,04月,8
01-028-1,1,28,R,1,3,"ゆ,縁,唯,","詳,デ,詳","↓,↓,↓,",4,01-028,01-028-R,False,3,1,04月,8
01-028-2,1,28,R,2,3,"唯,縁,ゆ,","詳,デ,詳","←,→,↓,",4,01-028,01-028-R,False,3,1,04月,8
01-028-3,1,28,R,3,2,"ゆ,唯,","詳,詳","↓,↓,",3,01-028,01-028-R,False,3,1,04月,8
01-028-4,1,28,R,4,0,,n,nan,1,01-028,01-028-R,False,3,1,04月,8
01-028-5,1,28,L,1,3,"唯,ゆ,縁,","詳,デ,詳","↓,↓,↓,",4,01-028,01-028-L,False,3,1,04月,8
01-028-6,1,28,L,2,2,"唯,ゆ,","詳,詳","↓,↓,",3,01-028,01-028-L,False,3,1,04月,8
01-028-7,1,28,L,3,1,"ゆ,",詳,"↓,",2,01-028,01-028-L,False,3,1,04月,8
01-028-8,1,28,L,4,3,"縁,ゆ,唯,","デ,デ","←,↑,→,",3,01-028,01-028-L,False,3,1,04月,8
01-029-3,1,29,R,3,2,"唯,縁,","詳,デ","↓,↓,",3,01-029,01-029-R,True,4,1,04月,8
01-029-4,1,29,R,4,2,"唯,縁,","デ,デ","←,←,",3,01-029,01-029-R,True,4,1,04月,8
01-029-7,1,29,L,3,2,"唯,縁,","詳,デ","←,←,",3,01-029,01-029-L,True,4,1,04月,8
01-029-8,1,29,L,4,2,"唯,縁,","デ,デ","↓,↓,",3,01-029,01-029-L,True,4,1,04月,8
01-030-1,1,30,R,1,0,,n,nan,1,01-030,01-030-R,False,4,1,04月,8
01-030-2,1,30,R,2,3,"ゆ,縁,唯,","詳,デ,詳","↓,↓,↓,",4,01-030,01-030-R,False,4,1,04月,8
01-030-3,1,30,R,3,3,"ゆ,縁,唯,","デ,デ,詳","↓,↓,↓,",4,01-030,01-030-R,False,4,1,04月,8
01-030-4,1,30,R,4,1,"ゆ,",デ,"↓,",2,01-030,01-030-R,False,4,1,04月,8
01-030-5,1,30,L,1,2,"ゆ,縁,","デ,デ","↓,→,",3,01-030,01-030-L,False,4,1,04月,8
01-030-6,1,30,L,2,0,,n,nan,1,01-030,01-030-L,False,4,1,04月,8
01-030-7,1,30,L,3,3,"ゆ,縁,唯,","詳,デ","↓,→,↑,",3,01-030,01-030-L,False,4,1,04月,8
01-030-8,1,30,L,4,3,"ゆ,縁,唯,","デ,デ","→,→,↑,",3,01-030,01-030-L,False,4,1,04月,8
01-031-1,1,31,R,1,2,"ゆ,唯,","詳,詳","↓,→,",3,01-031,01-031-R,False,4,1,04月,8
